Campaign_Name,Campaign_Objective,Campaign_Interaction_Type,Campaign_Conversion_Type,Campaign_Brand,Campaign_Brand_Type,Campaign_Sector,Campaign_Subsector,Campaign_Served_Country,Campaign_ID,Campaign_KPI,Campaign_Audience,Campaign_Duration,Campaign_Seasonality_Target,Client_Name,Client_Region,Client_Sector,Client_Relationship,Source_game_key,,Source_url,,Source_full_url,Ad_Type,Ad_Interaction,Ad_Build_Type,Ad_Video,Ad_Slideshow,Ad_target_audience,Ad_environment,Ad_format,Ad_KPI,Ad_eng_rate,Ad_eng_rate_>_benchmark,Ad_CTR,Ad_CTR_ >_ benchmark,Ad_VTR,Ad_VTR_>_benchmark,Ad_Interaction_changes,Ad_interaction_type_new,Ad_margins,Ad_BIO_recency
"McDonalds 
Happy Meal Book",,,,,,Food & Drink,Food & Drink,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mcdonalds-happymeal-book-fr-mob/61cdd1d42e34e8ab8c66,/game.js,https://wat.adludio.com/games/adunit-mcdonalds-happymeal-book-fr-mob/61cdd1d42e34e8ab8c66/game.js,,◾️👆 Drag around,non-standard,–,–,"Children A5-12
Fans of Mcdonalds ",Display,Full Screen,Engagement/dwell time,N/A,N/A,N/A,N/A,N/A,N/A,No,,,
"McDonalds 
Happy Meal Book Fr Mob",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mcdonalds-happymeal-book-fr-mob/61cdd1d42e34e8ab8c66,/game.js,https://wat.adludio.com/games/adunit-mcdonalds-happymeal-book-fr-mob/61cdd1d42e34e8ab8c66/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Mcdonalds Happymeal Summer2019 Book Fr Mob,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mcdonalds-happymeal-summer2019-book-fr-mob/20be2cf0d0fa262d8989,/game.js,https://wat.adludio.com/games/adunit-mcdonalds-happymeal-summer2019-book-fr-mob/20be2cf0d0fa262d8989/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Mcdonalds Happymeal Summer2019 Book Fr Mob V2,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-mcdonalds-happymeal-summer2019-book-fr-mob-v2/d8989a43aca0ec7c3c0e,/game.js,https://wat.adludio.com/games/adunit-mcdonalds-happymeal-summer2019-book-fr-mob-v2/d8989a43aca0ec7c3c0e/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Pan-n-ice,,,,,,Food & Drink,Food & Drink,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-pan-n-ice-smile-more/75210d14929141230592,/game.js,https://wat.adludio.com/games/adunit-pan-n-ice-smile-more/75210d14929141230592/game.js,GAME,"⬅️📱➡️ Tilt left or right
Game",non-standard,–,–,"Aims for A12-35
appealing to the game aspect
appealing to fans of sweets",Social,Full Screen,Clicks,90.66%,Yes,77.93%,Yes,N/A,N/A,No,N/A,,
"Holland & Barret 
(Vegan Your Way)",,,,,,Health and Wellbeing,Food & Drink,,,,,,,,,,,,https://wat.adludio.com/games/,6d0034eb9a7dbab1aeb7619a865cfa07/68fe2d7593d75e743b68,/game.js,https://wat.adludio.com/games/6d0034eb9a7dbab1aeb7619a865cfa07/68fe2d7593d75e743b68/game.js,,📳 Shake,standard,–,YES,"A18-30
Vegan",Social,Full Screen,Clicks,81.55%,Yes,43.17%,Yes,N/A,N/A,No,N/A,,
"Accor Hotels 
Singapore Startover",,,,,,Hotels,Tourism,,,,,,,,,,,,https://wat.adludio.com/games/,a711aeab06d67f9fdbabe7a6b0a5c0ce/2aca3ade2e027001f08d,/game.js,https://wat.adludio.com/games/a711aeab06d67f9fdbabe7a6b0a5c0ce/2aca3ade2e027001f08d/game.js,,⬅️ Swipe left,standard,–,YES,"Business and leisure travellers 
families 
interest and intent to travel to Singapore",Display,Full Screen,Engagement rate and CTR,46.33%,YES,6.33%,YES,,,YES,Decreased engagement area to prevent engagement rate from getting too high,96.31,
Hep 20,,,,,,Construction/DIY,,,,,,,,,,,,,https://wat.adludio.com/games/,6cf5f596115586c54141324c49dc858d/34b196fd79e6eaf2bea0,/game.js,https://wat.adludio.com/games/6cf5f596115586c54141324c49dc858d/34b196fd79e6eaf2bea0/game.js,,⬇️ Swipe down,standard,–,–,"adults
plummers
A20-46",Display,Full Screen,clicks ,44.96%,Yes,5.45%,Yes,N/A,N/A,No,N/A,96.79%,
"Co-op 
Christmas 2018",,,,,,Food & Drink,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-coop-xmas-crack-mobile/48e6414f46033ca22f28,/game.js,https://wat.adludio.com/games/adunit-coop-xmas-crack-mobile/48e6414f46033ca22f28/game.js,,⦿👆Tap,standard,YES,YES,"A25-50
Co-op customers
other supermarket chain customers ",Display,Full Screen,Clicks,36.66%,Yes,36.64%,Yes,N/A,N/A,No,N/A,92.51%,
"BMW 
(3 Series Update)",,,,,,Automotive,,,,,,,,,,,,,https://wat.adludio.com/games/,3278066ac42b63405b4804cefdf88a69/b3a99b05bf63a0df8408,/game.js,https://wat.adludio.com/games/3278066ac42b63405b4804cefdf88a69/b3a99b05bf63a0df8408/game.js,,🔘 Press & Hold,standard,–,YES,"People 30+, Income $8k, Automotive 
Enthusiasts, Interests in Competitor Brand, 
Competitor interest segments & showrooms.",Display,Full Screen,Engagement rate and CTR,36.07%,YES,22.02%,YES,,,NO,,,
